userName,content,Classification,Confidence
Emmanouil Chalkias,"First day of downloading it, it drained my battery in 6h (both phone and watch). Battery went back to normal once i uninstalled it. Please fix that guys so we can use the app",Negative,0.525
Avin Vkn,Perhaps the least user friendly app on Playstore. My head is spinning. Why is it so hard to edit the time of reminder?,Negative,0.97
Shawn Taylor,The last update removed grid view and left us with a very odd task interface.,Negative,0.9
Nuwan Lakmal,This is not free. Paid one. Some features are limited till paid.,Negative,0.815
Laurent de Giorgio,"Upon making a task, setting time and date by typing them has become absurd! The app understands what it wants and acts by itself. What do you mean 'use natural language'?",Negative,0.974
niaz nee,"Update on 25/8/20 :- worst update ever,, was moderately ok until August update. app totally dewastated. Now it is even lags like hell. Not even able to strike down a task after doing it in one touch ???",Negative,0.996
Hitesh Thakkar CFP,App is good & I am using it since 6 months now BUT NOW A DAYS AUTOMATICALLY SHUTDOWN WHOLE WORKING,Negative,0.983
Kristi Druge,Got into the help menu by accident. Can't get back to my lists.,Negative,0.784
Emily P,"I used this app every day for years, but just uninstalled and changed to a different to do list app because of the new layout. The grid was much easier to use and better looking.",Positive,0.713
Samuel Abankwah,I have bought it yet it displays ERROR IN VERIFYING MY WHATSAPP INTEGRATION ????,Negative,0.7
Roran,"A lot of basic features locked away behind a pay wall, not very customisable imo . Not the right to-do list app for me.",Negative,0.959
leishaa k,Ok it was good app but all the good feature are in premium no use of downloading if I'm not satisfied why would i pay for a premium one,Negative,0.996
Marsha Smallwood,"It duplicates events, often with the incorrect time, and delete events I invite other to. Very aggravating.",Negative,0.987
James Smith,Constant prompts for trials and upgrades. Super annoying.,Negative,0.623
Heath Barnett,"My rating is just based on my needs. The app says it has recurring tasks, it does not. It does have recurring reminders for ""on going"" tasks which may be useful in certain applications. The result of which being if you click on a task that you do everyday it puts the next reminder on the list giving the illusion the task was left undone. The exact opposite of what a checklist should do. If you want actual individual repeating tasks or list this is not the app.",Negative,0.983
ILOVETHATO,"Beautifully designed interface, but VERY CLICK-BAITY / PUSHY - I would NOT recommend.",Negative,0.988
Stephan Krasner,"Bare Bones. Integrations are a lie. You have to use a third party app to make it work and Zapier is garbage. Grocery list is kind of cool. Calendar has that annoying Apple style slide that hides evens and is impossible to read instead of traditional blocks. Support button is for bug fixes only, so premium support is also a lie.",Negative,0.984
Devesh Ramakrishnan,I'm experiencing issues with the reminder option. Whenever I set a reminder I get neither the notification or the popup which as a result makes me forget things. This issue wasn't there before. What can be done to solve this?,Negative,0.721
Nitesh Kumar,Rimnder alram ka bhi option h ya nhi,Neutral,0.71
Anele Ndlovu,Loved this app but I prefer writing things down,Positive,0.773
Chen Bary,Ordinary updates delete reminders,Negative,0.508
Did It.,Why pay for such simplicity?,Neutral,0.609
Chizi Wokoma,"For an app that's meant to help me organise my time more effectively, I didn't expect it would take the longest time to boot up compared to all the utility apps on my device... Really nice UI though...",Positive,0.896
Kyle Napster,Why so expensive? Microsoft Task or reminder offer most of the features that this app has. Could you please decrease the price a little bit? Or give me some discount? Atleast for the first Year?,Neutral,0.638
Melissa Skurich,"I like it at lot, but it seems like recently, this v thing is taking out my battery, hogging memory, and using data more than chrome which I use constantly. Until someone can help me figure this out, or if this high usage of phone resources is normal, I can't rate it any higher. I might even have to remove it and search for an alternative.",Negative,0.788
Ad,Can't repeat task at custom intervals,Neutral,0.559
Ghassan Alghamdi,It stopped showing reminders and notifications!!!!!,Negative,0.899
Mike Ryan,"Uninstalled. I want a simple reminder app that will put a daily notification in my notification bar, every single day. Nothing else. No other features. But this is so bloated with features, it's impossible to know if it might do this or not.",Negative,0.983
Tina Macdonald,"Couldn't get the hang of it, I want something simple and cheaper to remind me of birthdays and dog to vets etc",Negative,0.967
Vadym Abramuk,"Too annoying premium advertising, darkmode is premium only",Negative,0.719
Brandon Lewis,"The app was an okay task organizer at best, although it required internet and was ridden with adds and paywalls for a monthly ""premium"" subscription. Even if they asked for support, id prefer a one time payment of a higher amount like, $5 to unlock all features.",Negative,0.935
Sophie Rose,Used to be good but now doesn't even notify me (and yes this is with the settings amended accordingly),Negative,0.954
Richard Moore,"Some of the sentences on my lists go off the screen, so we need an option to wrap the text when it reaches the right side of the screen. As of June 4, 2017, I can not sign on anymore using samsung galaxy after upgrading to Android 7.0 software. As of 6-19-2020, I never did get any.do to work on my Samsung galaxy s7, but it now works on my Samsung note 8.",Negative,0.776
Alexander Paulavec,"You better don't rotate your phone from vertical to horizontal when typing new task, because it will be GONE. Any.Do support team said 2 years ago that it will be fixed, but it's still not. Also I have over 80 tasks and would love to see the search feature and ability to sort tasks by the date of their creation and by the alert date. The search was implemented but I don't know how to use it. Probably it works only on paid version.",Positive,0.642
Lali Nozadze,i liked it because of plan a tree cz i really needed it but it's expensive soo.. k bye,Positive,0.555
Wok Le,The update is annoying. I want to add time on the list. But you just add time tag feature which make the time that i put not being displayed.,Negative,0.913
HA ones,LAGGIN! cannot open. Tq,Negative,0.813
Kareem Kamal,Recurring reminders are available for free in Google reminder. You can't Monetize the basic functions.,Negative,0.533
Bill T,For me it frequently stops syncing. I currently can't get it working again. But when it was working it was great.,Negative,0.942
s b,Doesnt work on windows,Neutral,0.603
korian sarafian,not user friendly.,Negative,0.974
Spencer Frail,Used to love this app. After the latest update its garbage! Can't turn off the automatic date/time thing that erases what you put in and sends it to that date or time. Will hang onto it for a bit in hopes that a new update will fix this issue. Or at least give the option to turn it off.,Negative,0.949
Jeremy Schneider,"The website boasts that any.do is the best grocery list app for Android Wear. Lies. There is no way to view lists on Android Wear, only add tasks. You can view lists on Apple Watch. This is the feature I need and I guess I'll look elsewhere.",Negative,0.956
darsh dave,"Reminder does not pop up on time or in some cases, does not pop up at all",Negative,0.916
Allan Burias,I love using this app however when I installed it to one of my phones I cannot login to it. It just keeps closing. I don't know what's wrong. Also I wish the widget would contain date and time of the tasks not just tick marks.,Positive,0.565
Oliver Pohlmann,"Not the bloody annoying calendar/task widget thing again. You did this once before. I don't want to use your calendar, just the task list so please bring back the option of a widget without the calendar option written at the top. Will use an alternative until I see AnyDo has been updated.",Positive,0.727
Sean Goresht,"Paywall, even for dark theme. Very disappointed",Negative,0.994
Hari Haran Hk,Not yet solved. Cannot log in,Neutral,0.578
cymrobalch,"I need this app to share tasks real time with my significant other. Unfortunately, when she is adding tasks from iOS, sometimes they do no show up for me. Switching to Microsoft To Do and no problems. Additionally, being able to paste multiple cells from Excel makes MS offering indispensable, something I would sorely miss if I returned to Any.do.",Positive,0.962
Mustafa Hasan,useless,Negative,0.996
Sudipto Banerjee,It can't adjust tasks with real-time line.,Negative,0.673
Be Happy,I actually love this and have use this for a year but the new update is no good at all that I need to edit my review due to the changes...,Negative,0.933
Jess Nolt,"In a word: clunky. I like the calendar integration, however everything else is basic and clunky. Simply adding a task to a list takes 3 clicks and you CANNOT SET A DATE, TIME, SUBTASKS, OR NOTES UNLESS YOU EXIT OUT OF THE TASK AND GOING BACK TO YOUR LIST. The app is designed to give you as many notifications as it can and constantly advertise the premium version. And whatever you do, DO NOT SIGN UP FOR A FREE TRIAL UNLESS YOU'RE WILLING TO SPEND AN HOUR SEARCHING FOR HOW TO DO SO.",Negative,0.997
Drian S,"Whuup, sorry, need to pay for unlimited daily task. Nope",Negative,0.534
Ashley Swindell,"Buggy interface. The grocery list feature is fine but the schedule is terrible. It kept changing event details after I saved. I had to go back in and turn off alarms for previously saved events (that I had alarms off). And it would NOT let me create an all day event that was only scheduled one day. No matter how many times I changed the dates it kept including the day before in my ""all day"" event. And then when I would try to edit it, it would change completely to two days before. What a mess.",Negative,0.997
Ron N,Free version is very limited compared to Ticktick and Microsoft To Do.,Neutral,0.485
Cecil Maroh,"I've enjoyed using this app since I got it two weeks ago until recently, when it began crashing when I'd add tasks.",Negative,0.735
Christopher Thomson,"The grocery list is not syncing properly and is missing items that my wife added on her phone. This has caused issues for us where I've missed items when shopping. This is particularly bad considering the current quarantine and the fact that I have to queue up to get into the shop in the first place. I've tested and when I add the item ""snacks"" on my wife's phone they don't appear on my grocery list. I can not recommend this app currently because of this.",Negative,0.991
Cow cow,I mean the app started seeming really nice and has a lot of work put into it but here me out if your looking for a app that is free and dont want to spend $ for daily reminders this is not it but if you dont mind paying like 7 $ this your app and with that 7 dollars you can get cool extra stuff,Positive,0.842
Richard Nassour,a mess of features that don't serve me; cumbersome UX,Negative,1
Johannas Gutenberg,"When I saw that Dark Theme was premium only I stopped and uninstalled immediately. Frankly I was insulted. Are you hoping to squint me into submission? If I can't try your app comfortably then why bother? There are identical apps (I'm exploring now) that you're competing with, so think about making the app comfortable to use for free with restrictions I would pay to lift. It's like... youtube giving volume control only to premium members or test driving a new car without getting to use A/C.",Negative,0.996
Joyce Amirtharaj,I have cancelled my subscription. An amount of Rs. 909.90 has been deducted from my account. Kindly refund the same. I'm not interested in the app,Negative,0.997
Mao Vera,"This app always put the things I haven't done to the next day. I don't like this. It should be stay at there if I didn't finished the work nor help me move to the next day and ask me to do it! If I didn't finished it, I'll continue the work tomorrow. I don't need you to help me move the task to the next day. It's annoying",Negative,0.985
A Google user,"Lost another star for your reply to my previous comment. I like the ""moment"" notification. I like planning my day.. i hate the dumb sounds I can't turn off for every item I snooze.",Positive,0.559
Everton Ejike,"I'm sure the app is great seeing all the positive reviews not had earned. But having dark mode being ba premium feature is a deal breaker for me, because I would like to extensively test a product before considering a premium subscription but I can't get to use an app that forces light mode why all of my other apps are dark",Neutral,0.505
ali wajahat,Not free,Neutral,0.646
No F,"You can' t manage it easily per day, the interface is not clear when i click on a day I want to say only that day agenda not others around it. When i add a task it doesn t show me in which day is added - i have at least ten ideas to improve. They contact me, i will uninstall it for now. I submitted few complaints but there are more",Negative,0.874
Zak,Important features locked behind a pay wall.,Negative,0.481
Kamyar Kamyab,A suspicious app! Do not recommend this application.,Negative,0.997
Brandon Barnes,"Poor widget options, which is what I needed most. Very space inefficient and not customizable at all. Disappointing. Todoist had the most compact and useful widget, followed by Microsoft ToDo.",Negative,0.889
Bl S,Keep losing mini steps after I write them down.,Negative,0.816
Wojciech Soko?owski,"Thought it be a great replacement for GTasks. Main issue with Tasks is lack of pc app. I like the any.do widget as it has a transparent option. I use recurring tasks a lot. A routine which can be ticked and on the next day they'll reappear, which I found seemeles in the Google app. Unfortunately in any.do you need to set a reminder for each task with exact time, they don't stack on each other, creating a long list of notifications in the morning. Also no visual event line in calendar month view.",Positive,0.697
Guilherme Pastorizza,Estou tendo dificuldades com alguns bugs..,Neutral,0.605
A Kelly,There is a issue with Notes. For as long as I can remeber you sometimes add a note and it's gone later. I keep having to go out and come back each time I add one in hope it's saved.,Negative,0.499
Jay Gee,I like the app but the fact that there are lots of other apps that can do the same thing ... it's imo ridiculous to charge a monthly fee.. they justify it by saying it's a service blabla it's an to do app. More people would actually pay for it if it wouldn't be a subscription model.,Negative,0.945
M Honi,"Doesn't show empty hours like Gcalender, also asking me to subscribe from the get go.",Neutral,0.793
Shaquanna Morgan,"We dont use it. Like at all. Its not that different from your regular phone calendar. I'd actually like a refund, didn't even realize I was charged.",Negative,0.979
U?ur Ekbiç,Nice polished but useless. There is no filter for tags. Web and app synch problems happens missing tasks. Not any scoring system. May good for amateurs but not for project managers. However I like the calendar view.,Positive,0.511
Doug Evans,There are certain things I love like the fact that it sorts my grocery list by aisle automatically. But overall this app stresses me out. I just want an app that allows me to share my grocery list. But the grocery list seems buried in an area that isn't intuitive. I don't need something to schedule every second of my life which seems to be more this apps aim.,Negative,0.958
Danny Comics,You reaaallllyyy don't have a lot without paying,Negative,0.657
R J,Can't add more than 5 task to calendar without monthly fee.,Neutral,0.577
Tiasa H. Valdez,"The design is nice but it doesn't understand when I said 'later'. When I said remind me tomorrow morning, it replied okay I'll be reminded tomorrow at 16:00+. That's afternoon. I'll be very well roasted by my boss by then. Can't find any help on these issues. Was close to confirming my subscription. Sad ??",Negative,0.98
MPK World of Entertainment & Exposure,Premium version only,Neutral,0.879
Sharon Crowson,"Is there no way to assign a specific color to an event? I like to group my meetings by color. If I can't do that, the app isn't useful for me.",Negative,0.608
Micah Grube,"Trying to set a reoccuring event changes the date to one day before what I set it as. Trying to change the date back just creates a second event. Then trying to delete both events takes several tries, because half the time they don't actually delete. This is really annoying.",Negative,0.994
Mister J,Weak and underdeveloped platform. Don't expect support to treat you like a person - this is a company that just wants your money and then to forget about you.,Negative,0.999
Dave J,"Recurring tasks are very glitchy - they sometimes change the day or time when they recur. Per any.do's request i sent them a video of this happening... crickets. No explanation or acknowledgement and no refund as i requested. Fine otherwise, but i rely on recurring items.",Negative,0.941
Petar Janotka,Missing grocery list widget and quantity for grocery list items!!!,Negative,0.837
Jim T,It doesn't sync up with Google Tasks. Not worth the change. Zapier does not work for Android. Zapier only works if you pay the Premium fee plus it only gives the option to add new tasks and complete tasks when integrating with Google Tasks. It does not import current tasks previously created in Google Tasks. There is no way to transfer my 144 tasks from Google to Anydo. And I can't afford $72.00 right off the bat to do it.,Negative,0.992
Markus H,"NEW: Great concept but NOT for confidential data because it's not encrypted (nor PW protected on phone or PC) and, one day, Any.Do company will get hacked & ALL your stuff be be out there, like EquiFax. RESOLVED: App loses your work. eg: I created a new task, started a ""notes"" section, pasted it in some material and clicked save. Then I went to another app to get more material but when I returned to any.do, my notes were GONE!. Your ""save"" button is fraudulent if it does not save when clicked!",Negative,0.99
Sindhu Indurthi,Nested can be improved,Neutral,0.7
Hayden Albrecht,It's a fine app but logs me out every other time I go to use it.,Negative,0.851
Ethelred Adolf Naintin,"Hi Developer. Need to improve note module. It fix only for protrait view, which is when I'm using landscape view (tablet with keyboard), I need to adjust my head or the gadget. TQ",Negative,0.656
Tom Duckett,Recurring tasks are behind a pay wall. Ridiculous to have to pay a monthly subscription for such a simple feature App is a little ugly and not customisable.,Negative,0.902
Ali Jauhiainen,Themes and location based reminders are under subscription. Both are free on most of apps like this. Thanks but no. I'll pass and keep using Google keep,Negative,0.677
Fridman Baruch,Not so great. The user interface is not friendly. Making the to do list takes far too long and theres no way (that i found) to make a list that repeats daily. I'll just stick to google keep.,Negative,0.992
Aleksander Prudnik,Strange thing. When I mark recurrent tasks as done in web desktop version into the Upcoming section.,Neutral,0.81
Killerkamatis Pogi,Notification is now pathetic.. shame. I liked it a lot. I think its time to jump ship. It's been fun.,Positive,0.775
Chris Brown,After all this time you still can not search tasks on Android. So you have to look through every task you have created and through each list to find what task you are looking for. Going down to 2 star.,Negative,0.786
Thanakrit P.,Not free,Neutral,0.646
luiz miguel,"muito limitador pra quem não paga pra usa, e nem é tão vom assim.",Neutral,0.726
James Warren,"It used to be a slick, minimal app that did what it needed to. Then they kept adding layers of unneeded features and forced people to make an account just to use it. No thanks.",Negative,0.973
?????? ???????,"??????? ??????, ?? ??? ???? ??? ????, ??? ?????. ????? ????? ????????????, ?? ?? ???? ??????????? ??????? TODO ?????? ?? _??????_ ????. ? ????????? ????? ? ???????????? ?????? ???????. ?? ?? ??????, ???? ?? ??? ??????????? ??????????. ????????, ??? ?????????? ??????????? ?????? ?????, ?? ??? ???? ?? ??????????? ? ???????????? ????????????.",Neutral,0.551
WK Lai,No monthly recurring reminder features. Can't even remind me when to pay the bills!,Negative,0.932
Wayne P,Have to create an account just to check out functionality. Don't want to do that. Uninstalling.,Negative,0.989
Ch RT,How do i unsubscribe this useless app?,Negative,0.688
Alyssa Stevenson,"List feature sucks! I don't need to manage myself so I can't speak to that functionality. I just wanted a list app, preferably one that worked with Google Assistant. Although that feature works great, the list feature kind of sucks. In an attempt to look new and edgy, the user experience went down the drain. I found it clunky & irritating. I shouldn't have to add a new item to the grocery list just to be able to uncheck items I need again. And that's just one of many irritations. AnyList baby!",Negative,0.995
Loren Larkin,Update: Used to be great. Now they've added so many steps it's no longer the simple app it used to be. Very disappointed.,Negative,0.998
Mr Mariswamy,"I can t select weekly days which days i need remainder, and this drawback of app, best to go with other app",Positive,0.738
Janet Lynch-Price,Uninstalled after latest update and it blocked all my lists until I set up an account. No thanks.,Negative,0.877
Picsopedia by Anitesh,"The ""not completed"" tasks do not carry over to the next day automatically. I wanted an app that would constantly flash incomplete tasks in my home screen. Otherwise, presentation of the app is good.",Negative,0.796
Adik Mogi,"Very average app, not intuitive . Will probably spend more time trying to plan than doing",Negative,0.829
the lands of ores c,I dont liek it rlly,Neutral,0.753
Amit Sinnarkar,Premium version is too much expensive. Any.do should provide an option in which we can select max. 3 to 5 apps for integration in premium version & pay accordingly.,Neutral,0.759
Dougy Mando,"Looks really good but... I'm not going to pay a subscription for it, sorry. If you said one off payment then maybe. Most of the locked features are available in other products out there.",Negative,0.749
- ALPHAEIUS -,Well designed and all however alot of the crutial features are locked behind the premium which u need to pay for,Neutral,0.711
Stevie B,Unable to edit time for reminder. S7,Negative,0.947
Eric Uys,Cant really set custom remindere. For example I need to be able to check a specific system every 3 hours with other variables.. Cant do it,Negative,0.645
Robert h,"Could have been a good free app. Nice design , good ideas but the free version keeps forgetting the task alarm I configured. I put it at 6 but it resets it at 9. Don't know about the paid one.",Negative,0.913
Larisa Majcenovic,"Hi there, i would like to know if this application is for free or do i need to pay for it? Thank you for your answer.",Neutral,0.537
Stephanie Rockell,"Day 2 of trialling this. So far I've had two location reminders fail, I can't label a location with more than one letter, the only time based reminder that's fired did so while on a phone call so I don't know what it sounds like, not that I can change the sound anyway because the instructions don't work. I had no idea what the buttons meant so the first one tapped the task got snoozed for 28 hours. How is that a typical snooze length? Adding anything more than a basic list item is not intuitive",Negative,0.997
Nisharg Sanghvi,I want to discontinue and it was monthly base they charge me yearly it's very sad pls help and refund,Negative,0.979
Zeek Zefrym,"It sorely needs and UNDO (& backup/restore/revert) feature in case we accidentally touch/swipe a circle/bullet which then gets unintentionally deleted immediately (which I find incredibly frustrating). (It also needs a flexible feature to import & export other common text/data formats like CSV, XML, events to & from calendar… not just copy reminders to tasks) If Google fixes all that then I'd give it 5-stars!",Positive,0.94
Sohani,"I love this app, but recently the app keeps crashing everytime I enter. Plus the calendar is completely wrong. ?",Negative,0.988
Ahmed Saad,No dark theme without a premium subscription? Ok,Neutral,0.813
Mahmood Abdulredha,"It's very simple, and it's interface is so beautiful. Why did I put 2 stars then? Because most of it features are limited to the paid edition, even the important ones.",Negative,0.531
Magnus Brink,Looks like a copy of an IPhone app. Im not impressed by the huge bar in the bottom or the single colored ui. A night mode should come standard,Negative,0.99
jaganmohan palo,There is no sound,Negative,0.508
Raaask,"Too much spam. Stuff that I don't care for pops up on my screen all the time and blocking those also blocked the reminders I wanted the app for. Also, too many emails. I don't want more clutter to ""organize"" my life.",Negative,0.992
Dipak Sahoo,Very productive,Positive,0.95
Sanjaya Oracle,I dont like how it charged me automatically after the free trial without informing me expiry of trial or if i wanted to subscribe to the paid service,Negative,0.881
vab rastogi,Not a great user interface. Have been using for almost 2 months but still struggling,Negative,0.991
Jim Bailey,Hate subscription uninstalled,Negative,0.565
Sabrina said,Does this app work without internet connection also?,Neutral,0.829
Andrea Ernest,gaada waktu kapan harus selesai.. jadi kurang detail,Neutral,0.528
Dominik Kwa?niewski,Over all good task manager. But I do not like misleading and untrue boasts about integration with MS outlook. It is possible but only via zappier plus functionality is limited. Not possible to sync task between this 2apps.,Negative,0.792
Rudi Visser,"Sharing didn't work, there's a permanent notification and everything is premium option, even the theme!",Negative,0.737
Duncan W,"I was willing to give this a try to see if it suits my needs. Seemed ok, with limited use so far. The only thing more annoying than constant notifications from apps is at 9am when my phone vibrates and Any.Do takes over the whole screen and asks me to plan my day. I don't need it taking over things, i will plan when i want. Are you seriously doing this? It is the equivalent of a browser popup and very annoying.",Negative,0.994
Patrick O'Neill,"Syncing with Alexa takes over 10-15 minutes which renders it unusable. Any.do, before you post your generic response: yes, I added the skill to my Alexa and, yes, I logged into my accounts. It syncs... kind of... so I can verify the two accounts are talking... just not well at all. When I use Wunderlist or Google Tasks or just Alexa by itself, the changes are instantly viewable across all platforms. The only reason I downloaded with app was to give me more control over my Alexa lists (which for some insane reason you cannot reorder). The extremely lag in syncing Any.do with Alexa renders this app useless. The UI looks really nice and user friendly, so I bumped it up to 2 stars.",Negative,0.98
Chip Foscue,"I don't care for it, when I first opened it it showed me all these appointments. I was thinking what the heck then I figured out it was showing me weeks passed along with the current. To me that's just a bunch of clutter. Then it was telling me I had five appointments this month, no, only have one, it only showed the one but it still says 5. I don't have a clue what the other four are. Anytime I try to do anyting it practically begged me to join premium, I just uninstalled it.",Negative,1
Eric Nelson,Good until it started wanting money for doing its job,Negative,0.977
Franc,"Pretty with nice add ons and integrations but more than once I've gone back to a long list I created to find it gone or reverted back to a very old version, so annoying. Don't need the song and dance this app offers if it can't save a basic list",Negative,0.809
David Patterson,"I was about to jump wholeheartedly into using this app (its integration with Google Calendar being exactly what I'm looking for) but now I see that it has no search feature on Android. Worse still, Android Search has been on their roadmap since 2015 and it's still not done. 2015!?! In the meantime other apps can build smart lists it out of tags, status and free text. Seriously behind the curve, guys.",Negative,0.993
Kevin Liu,"Wear OS app only supports adding tasks, not viewing existing ones (without reminders)",Neutral,0.54
CD Spiva,"I tried it years ago and never really got it going. Then I switched to Wunderlist and became an organized machine! Now Wunderlist is being retired, so I thought I'd try again, guessing it would be much better by now and that my ability to use it to my advantage would be vastly improved. Nope. No ability for folders or some other way to group lists together so I don't have to flip through all my lists to find the one I want. Not even a list view to make them easier to find.",Negative,0.989
Nowfal Nazar,Downloads the app but package file is invalid error pops up before completing installation,Negative,0.995
Romy EC,"It's very confusing. I got the calendar app that was suggested to me when I wanted to use the widget, but once I started using the calendar along with any.do the tasks notifications got duplicated. I don't see the point of having any.do when the calendar app does the same thing.",Negative,0.809
Nasos Roussis,So far so good... bit expensive having to purchase a yearly basis to access basic functions as color tags and what comes with it. Translation to Greek is not fluent for the price tag / annually I would apprechiate developers look closer at them. Will give it a try before committing on purchasing it per year. On a positive note love the widget (using however nova launcher). Current rating will change based on the experience.,Positive,0.94
Evil Pasta,"Ah yes, wanna use an ""advanced"" calendar? Well, turns out you must have an account for that. What's that, your eyes are burning under this bright theme? Well we have a solution just for you! As you have seen in our tips, you can change the theme. Oh W O P S, NO YOU CAN'T, how silly of us to not tell you in tips that ~BUY OUR PREMIUM!!!~... //Maybe it's just not what I was looking for...",Neutral,0.602
Jeff Z,"Too whacked for creating lists, like grocery or to do with their tasks and subtasks instead of just lists you can check complete",Positive,0.711
Alpha Sumareh,"I'm a student and was looking for something get myself very organized. I have tried series of productivity apps before. Apparently this had one of the features i have always been looking for; integration with other apps which I love. Two things I found disappointing, features are extremely limited without premium, it's almost impossible to use like that also very expensive. I couldn't find statistics; from totally hours and other reports",Negative,0.989
debian linus,There should be a dark mode instead of setting through a premium theme option,Negative,0.489
Rachel Hines,"I liked using this app but I recently noticed that important information I had saved in sub tasks has all been deleted. Its happened before and I thought I had made a mistake. But no, it's just this app malfunctioning.",Negative,0.991
Chuckalaka,Many times I've put sub tasks on my to-do tasks and they just disappear for some reason. I've forgotten many things because of this and still hasn't been fixed despite various updates.,Positive,0.463
Yet1,App not bad but very limited unless you pay. Downloaded this app after reading in the news about it's WhatsApp integration. That is only available if you pay. Without the paid for aspects this application is like any other generic calender app.,Negative,0.962
Lucas,"I am a paid user of this app. I like this app a lot, until Android 10. They claim what they used to do is not possible but that is not true because another app I use (Daylio) has a nice notification that jumps out at you, like Any.do used to. Now Any.do gives a regular ignorable notification which you click and the app does something on the screen and is pretty pathetic, THEN it gives it's notification to plan your day. So it's two clicks with a big visual pause in between. Not cool. ?",Negative,0.994
Gaming Cookie,"I dont like that it requires you to login, why cant I just use it without logging in my accounts",Negative,0.605
Shahrukh Atif Jangda,Questionable experience. Upgraded to premium but WhatsApp integration is not working. Seems a little confusing.,Negative,0.575
dariush karamati,Zero features in free version.,Neutral,0.739
Peter Seman,"good shared tasks, but app itself makes me angry.. it keeps forgetting i am logged in with my google account.. so I need to login for like each two weeks or so.. and it also forgets my settings... Edit: unfortunately this has not been fixed yet, even though I had sent logs and communicated with you. Decreasing my rating.",Negative,0.548
Heather Smithson,I can not figure out how to get it on my galaxy watch...ugh.,Negative,0.818
Swago Nichevich,"when you switch the language, you get wierd bug that your app is half in English half in selected language",Negative,0.945
Vishal Sheth,I was given this premium app. Now with new versions is not updating. I fail to understand this. If I'm given premium version then now why wouldn't it get updated? If it was non upgradable then why was it given? It's a great app and so it hurts when there are such tricks used on customers.,Negative,0.858
e nimo,"Dec. 5, 2019 Update Moved from 5 stars to 2 for the reason below: I've had this app for about half a decade. The last couple years have been irritating. I add sub tasks. When I go back to the tasks, the sub tasks aren't there. I wish there was a save button as a cue and confirmion that the subtasks are saved. Not sure how long I could forgive the app until I just use another one altogether. Please address subtasks staying in the next update. Thanks! Was 5 stars for the longest time Awesome!",Positive,0.914
Alex Bowley,"Useful as a to-do list. Sets a real annoying ""plan your day"" popup reminder every morning. How you disable it is non obvious. Uninstalled.",Negative,0.986
Josh Hartwell,"Can't clean up old Alexa lists! We use this purely for the Alexa shopping list integration. However, early on it was very buggy, so we had to relink our Alexa account a number of times. And now we have like 4 or 5 old ""Alexa shopping list""s that we cannot delete! ""Alexa lists can not be modified with Any.do. You can do it from the Alexa app""... No, I can not, because it only deletes the working one!",Negative,0.965
Aatish Panchbhai,Reminder feature is not working ?,Negative,0.961
Kingsley Yong,"Allowed all the permissions for this app but i still can't get the reminder to work on my smartphone running Android 8. Downloaded a different reminder app and also allowed all permissions for it, and it worked well.",Negative,0.722
Charlie-Anne Gagne,I had made an account for this app a long time ago but didn't use it for long and I forgot why until I re-downloaded it today. This is one of those apps that's incredibly frustrating because a lot of the main advertised features are behind a pay wall and/or you have to make an ADDITIONAL ACCOUNT FOR. Paying more than $1/mo for a list app is ridiculous. If anything it should be a one-time purchase.,Negative,0.904
Shivanksha Marupuru,I used to love it. It was my go to app for many years. But over the time it is losing the special status. It doesn't have travel time anymore which was the main reason why i could stay on top of things without mentally having to calculate each meeting and setting the times. They removed that!,Negative,0.775
Vijendra Sah,"The alarm feature does not work, which leads to missing the tasks.",Negative,0.984
Carina Louzao,"Nice looking UI, but inability to disable popups is a deal breaker for me. Uninstalled.",Negative,0.985
coop zoop,"This still works pretty well, but I'm not a fan of the updated widget not listing tasks chronologically.",Positive,0.537
A Tkach,Good app. Annoying pop up every morning on my phone even though I have the notification turned off.,Negative,0.584
Max,I haven't used they made an effort from there side. I'm a bit of a mess and I need time.,Negative,0.811
Peter Škoda,"29.9. Nothing new, I've already reconciled to that ""improved"" GUI. // 16.7.20, 3.8.19: No, a long time ago I was able to create a FULL (WITH a reminder) task in a LANDSCAPE mode. It's impossible now (after that 'redesign'). // 17.7., 2.3.: I'm pretty sure I WAS ABLE to create/edit a new task in ONE go (and in LANDSCAPE). It takes MORE moves now. // 2.2.2019: I CANNOT believe that when I HAVE got to change a grip from PORTAIT to LANDSCAPE when creating / editing a task it is more effective than before...",Negative,0.858
Anri Amaldi Ridwan,"I've been a satisfied user of Any.do since March 2018 and my subscription is until 2021. However, when I tried to create a recurring event, it kept directing me to the subscription page much to my disappointment.",Negative,0.965
Lynn,"Some features just don't work in the free app! I have tried to set a daily reminder for 9am to put a ticket in my car. Once I click ""Done"", it sets the reminder the next day.... at 1am. I dismissed the 1am reminder once, half asleep as the sound woke me up, it never reminded me again and now I have a parking fine to pay. I have real memory difficulties and need an app that actually works properly! Disappointing, as I find the one off reminders really helpful.",Negative,0.97
Neeraj Shorey,I am not sure who want to pay monthly fee for a to-do list app. One time payment always make a sense.,Neutral,0.542
Gabrielle Kelly,"Started out strong... First few days perfect, synced to smart watch and woke with everything planned. But now it's not sending the notifications regularly - not to watch or android phone. Added it to the PC and tried the phone widget - maybe that broke it. Weird pile of repeated completed daily tasks with no time set, while the daily tasks with times don't notify. Some work then don't - very frustrating. Clearing the cache/reinstall didn't work. Feels like a battle to get it to function. :/",Negative,0.998
